City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Nortelandia,BR,79.23,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
17,Qui Nhon,VN,79.12,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
18,Rikitea,PF,78.76,clear sky,-23.1203,-134.9692,People ThankYou
20,Port-Gentil,GA,82.31,moderate rain,-0.7193,8.7815,Fengshui Residence
21,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
22,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
26,Cape Town,ZA,76.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
28,Moerai,PF,79.84,light rain,-22.4333,-151.3333,Le Manotel
33,Enterprise,US,76.86,scattered clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
38,Gweta,BW,83.37,overcast clouds,-20.1833,25.2333,Gweta Lodge
44,Hirara,JP,70.11,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
45,Trincomalee,LK,81.81,clear sky,8.5711,81.2335,Welcombe Hotel
46,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
47,Atuona,PF,78.85,overcast clouds,-9.8,-139.0333,Villa Enata
56,Salalah,OM,80.76,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
61,Kapaa,US,70.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Kieta,PG,75.76,light rain,-6.2167,155.6333,Uruna Bay Retreat
63,Bure,ET,76.39,broken clouds,10.7,37.0667,Holiday
64,Victoria,HK,78.94,scattered clouds,22.2855,114.1577,Mini Hotel Central
65,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Namwala,ZM,76.1,light rain,-15.7504,26.4384,Corner Point Lodge
75,Gizo,SB,79.52,light rain,-8.103,156.8419,Imagination Island
77,Richards Bay,ZA,72.45,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
83,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Nabire,ID,74.61,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
86,Butaritari,KI,80.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
90,Thayetmyo,MM,83.34,clear sky,19.3167,95.1833,Htarwaya Thitsar Guest House
91,Hithadhoo,MV,83.89,clear sky,-0.6,73.0833,Scoop Guest House
94,Georgetown,MY,84.13,moderate rain,5.4112,100.3354,Cititel Penang
97,Salinopolis,BR,80.92,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
100,Baracoa,CU,83.73,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
102,Kavieng,PG,81.79,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
