City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-3.98,77,0,20.71,haze
1,Ushuaia,AR,-54.8,-68.3,55.02,81,100,9.22,overcast clouds
2,Maloy,NO,61.9353,5.1136,42.73,75,100,8.16,overcast clouds
3,Saskylakh,RU,71.9167,114.0833,-21.5,100,100,3.02,overcast clouds
4,Umm Kaddadah,SD,13.6017,26.6876,78.12,10,19,18.37,few clouds
5,Nikolskoye,RU,59.7035,30.7861,28.87,89,100,19.13,light snow
6,Nortelandia,BR,-14.4547,-56.8028,79.23,80,97,5.57,overcast clouds
7,Upington,ZA,-28.4478,21.2561,88.18,18,20,8.05,few clouds
8,Walvis Bay,NA,-22.9575,14.5053,62.1,66,28,11.18,scattered clouds
9,Port Elizabeth,ZA,-33.918,25.5701,67.1,84,20,10.36,few clouds
10,Busselton,AU,-33.65,115.3333,64.27,90,100,17.11,overcast clouds
11,Esperance,AU,-33.8667,121.9,67.77,81,100,3.89,overcast clouds
12,Erenhot,CN,43.6475,111.9767,28.15,26,4,10.0,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,53.62,66,100,8.05,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,67.17,82,100,3.0,overcast clouds
15,Pangnirtung,CA,66.1451,-65.7125,24.8,63,100,14.97,overcast clouds
16,Gore,NZ,-46.1028,168.9436,46.06,99,16,1.3,few clouds
17,Qui Nhon,VN,13.7667,109.2333,79.12,91,20,3.58,few clouds
18,Rikitea,PF,-23.1203,-134.9692,78.76,75,4,13.38,clear sky
19,Hermanus,ZA,-34.4187,19.2345,69.8,64,4,19.22,clear sky
20,Port-Gentil,GA,-0.7193,8.7815,82.31,81,100,12.39,moderate rain
21,Geraldton,AU,-28.7667,114.6,73.81,88,40,4.61,scattered clouds
22,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,40,4.61,scattered clouds
